segment_id,label,status,heading,start_ref,end_ref,chapter_index,block_index,notes
001,Saying 1 — True Meaning,planned,Saying 1: True Meaning,53,54,,,
002,Saying 2 — Seek and Find,planned,Saying 2: Seek and Find,55,56,,,
003,Saying 3 — Seeking Within,planned,Saying 3: Seeking Within,57,59,,,
004,Saying 4 — First and Last,planned,Saying 4: First and Last,60,61,,,
005,Saying 5 — Hidden and Revealed,planned,Saying 5: Hidden and Revealed,62,63,,,
006,Saying 6 — Public Ritual,planned,Saying 6: Public Ritual,64,66,,,
007,Saying 7 — The Lion and the Human,planned,Saying 7: The Lion and the Human,67,68,,,
008,Saying 8 — The Parable of the Fish,planned,Saying 8: The Parable of the Fish,69,70,,,
009,Saying 9 — The Parable of the Sower,planned,Saying 9: The Parable of the Sower,71,72,,,
010,Saying 10 — Jesus and Fire (1),planned,Saying 10: Jesus and Fire (1),73,74,,,
011,Saying 11 — Those Who Are Living Won't Die (1),planned,Saying 11: Those Who Are Living Won't Die (1),75,76,,,
012,Saying 12 — James the Just,planned,Saying 12: James the Just,77,79,,,
013,Saying 13 — Thomas' Confession,planned,Saying 13: Thomas' Confession,80,87,,,
014,Saying 14 — Public Ministry,planned,Saying 14: Public Ministry,88,90,,,
015,Saying 15 — Worship,planned,Saying 15: Worship,91,92,,,
016,"Saying 16 — Not Peace, but War",planned,"Saying 16: Not Peace, but War",93,94,,,
017,Saying 17 — Divine Gift,planned,Saying 17: Divine Gift,95,96,,,
018,Saying 18 — Beginning and End,planned,Saying 18: Beginning and End,97,99,,,
019,Saying 19 — Five Trees in Paradise,planned,Saying 19: Five Trees in Paradise,100,101,,,
020,Saying 20 — The Parable of the Mustard Seed,planned,Saying 20: The Parable of the Mustard Seed,102,104,,,
021,"Saying 21 — The Parables of the Field, the Bandits, and the Reaper",planned,"Saying 21: The Parables of the Field, the Bandits, and the Reaper",105,109,,,
022,Saying 22 — Making the Two into One,planned,Saying 22: Making the Two into One,110,113,,,
023,Saying 23 — Those Who are Chosen (1),planned,Saying 23: Those Who are Chosen (1),114,115,,,
024,Saying 24 — Light,planned,Saying 24: Light,116,118,,,
025,Saying 25 — Love and Protect,planned,Saying 25: Love and Protect,119,120,,,
026,Saying 26 — Speck and Beam,planned,Saying 26: Speck and Beam,121,122,,,
027,Saying 27 — Fasting and Sabbath,planned,Saying 27: Fasting and Sabbath,123,124,,,
028,Saying 28 — The World is Drunk,planned,Saying 28: The World is Drunk,125,126,,,
029,Saying 29 — Spirit and Body,planned,Saying 29: Spirit and Body,127,128,,,
030,Saying 30 — Divine Presence,planned,Saying 30: Divine Presence,129,130,,,
031,Saying 31 — Prophet and Doctor,planned,Saying 31: Prophet and Doctor,131,132,,,
032,Saying 32 — The Parable of the Fortified City,planned,Saying 32: The Parable of the Fortified City,133,134,,,
033,Saying 33 — The Parable of the Lamp,planned,Saying 33: The Parable of the Lamp,135,136,,,
034,Saying 34 — The Parable of Those Who Can't See,planned,Saying 34: The Parable of Those Who Can't See,137,138,,,
035,Saying 35 — The Parable of Binding the Strong,planned,Saying 35: The Parable of Binding the Strong,139,140,,,
036,Saying 36 — Anxiety,planned,Saying 36: Anxiety,141,142,,,
037,Saying 37 — Seeing Jesus,planned,Saying 37: Seeing Jesus,143,145,,,
038,Saying 38 — Finding Jesus,planned,Saying 38: Finding Jesus,146,147,,,
039,Saying 39 — The Keys of Knowledge,planned,Saying 39: The Keys of Knowledge,148,149,,,
040,Saying 40 — A Grapevine,planned,Saying 40: A Grapevine,150,151,,,
041,Saying 41 — More and Less,planned,Saying 41: More and Less,152,153,,,
042,Saying 42 — Passing By,planned,Saying 42: Passing By,154,155,,,
043,Saying 43 — The Tree and the Fruit,planned,Saying 43: The Tree and the Fruit,156,158,,,
044,Saying 44 — Blasphemy,planned,Saying 44: Blasphemy,159,160,,,
045,Saying 45 — Good and Evil,planned,Saying 45: Good and Evil,161,162,,,
046,Saying 46 — Greater than John the Baptizer,planned,Saying 46: Greater than John the Baptizer,163,164,,,
047,"Saying 47 — The Parables of Divided Loyalties,",planned,"Saying 47: The Parables of Divided Loyalties,",165,169,,,
048,Saying 48 — Unity (1),planned,Saying 48: Unity (1),170,171,,,
049,Saying 49 — Those Who Are Chosen (2),planned,Saying 49: Those Who Are Chosen (2),172,173,,,
050,Saying 50 — Our Origin and Identity,planned,Saying 50: Our Origin and Identity,174,177,,,
051,Saying 51 — The New World,planned,Saying 51: The New World,178,180,,,
052,Saying 52 — Twenty-Four Prophets,planned,Saying 52: Twenty-Four Prophets,181,183,,,
053,Saying 53 — True Circumcision,planned,Saying 53: True Circumcision,184,186,,,
054,Saying 54 — Those Who Are Poor,planned,Saying 54: Those Who Are Poor,187,188,,,
055,Saying 55 — Discipleship (1),planned,Saying 55: Discipleship (1),189,190,,,
056,Saying 56 — The World is a Corpse,planned,Saying 56: The World is a Corpse,191,192,,,
057,Saying 57 — The Parable of the Weeds,planned,Saying 57: The Parable of the Weeds,193,194,,,
058,Saying 58 — Finding Life,planned,Saying 58: Finding Life,195,196,,,
059,Saying 59 — The Living One,planned,Saying 59: The Living One,197,198,,,
060,Saying 60 — Don't Become a Corpse,planned,Saying 60: Don't Become a Corpse,199,204,,,
061,Saying 61 — Jesus and Salome,planned,Saying 61: Jesus and Salome,205,210,,,
062,Saying 62 — Mysteries,planned,Saying 62: Mysteries,211,212,,,
063,Saying 63 — The Parable of the Rich Fool,planned,Saying 63: The Parable of the Rich Fool,213,214,,,
064,Saying 64 — The Parable of the Dinner Party,planned,Saying 64: The Parable of the Dinner Party,215,227,,,
065,Saying 65 — The Parable of the Sharecroppers,planned,Saying 65: The Parable of the Sharecroppers,228,233,,,
066,Saying 66 — The Rejected Cornerstone,planned,Saying 66: The Rejected Cornerstone,234,235,,,
067,Saying 67 — Knowing Isn't Everything,planned,Saying 67: Knowing Isn't Everything,236,237,,,
068,Saying 68 — Persecution,planned,Saying 68: Persecution,238,239,,,
069,Saying 69 — Those Who Are Persecuted,planned,Saying 69: Those Who Are Persecuted,240,241,,,
070,Saying 70 — Salvation is Within,planned,Saying 70: Salvation is Within,242,243,,,
071,Saying 71 — Destroying the Temple,planned,Saying 71: Destroying the Temple,244,245,,,
072,Saying 72 — Not a Divider,planned,Saying 72: Not a Divider,246,249,,,
073,Saying 73 — Workers for the Harvest,planned,Saying 73: Workers for the Harvest,250,251,,,
074,Saying 74 — The Empty Well,planned,Saying 74: The Empty Well,252,253,,,
075,Saying 75 — The Bridal Chamber,planned,Saying 75: The Bridal Chamber,254,255,,,
076,Saying 76 — The Parable of the Pearl,planned,Saying 76: The Parable of the Pearl,256,258,,,
077,Saying 77 — Jesus is the All,planned,Saying 77: Jesus is the All,259,261,,,
078,Saying 78 — Into the Desert,planned,Saying 78: Into the Desert,262,263,,,
079,Saying 79 — Listening to the Message,planned,Saying 79: Listening to the Message,264,266,,,
080,Saying 80 — The World is a Body,planned,Saying 80: The World is a Body,267,268,,,
081,Saying 81 — Riches and Renunciation (1),planned,Saying 81: Riches and Renunciation (1),269,270,,,
082,Saying 82 — Jesus and Fire (2),planned,Saying 82: Jesus and Fire (2),271,272,,,
083,Saying 83 — Light and Images,planned,Saying 83: Light and Images,273,274,,,
084,Saying 84 — Our Previous Images,planned,Saying 84: Our Previous Images,275,276,,,
085,Saying 85 — Adam Wasn't Worthy,planned,Saying 85: Adam Wasn't Worthy,277,278,,,
086,Saying 86 — Foxes and Birds,planned,Saying 86: Foxes and Birds,279,280,,,
087,Saying 87 — Body and Soul,planned,Saying 87: Body and Soul,281,282,,,
088,Saying 88 — Angels and Prophets,planned,Saying 88: Angels and Prophets,283,284,,,
089,Saying 89 — Inside and Outside,planned,Saying 89: Inside and Outside,285,286,,,
090,Saying 90 — Jesus' Yoke is Easy,planned,Saying 90: Jesus' Yoke is Easy,287,288,,,
091,Saying 91 — Reading the Signs,planned,Saying 91: Reading the Signs,289,291,,,
092,Saying 92 — Look and Find,planned,Saying 92: Look and Find,292,293,,,
093,Saying 93 — Don't Throw Pearls to Pigs,planned,Saying 93: Don't Throw Pearls to Pigs,294,295,,,
094,Saying 94 — Knock and It Will Be Opened,planned,Saying 94: Knock and It Will Be Opened,296,297,,,
095,Saying 95 — Giving Money,planned,Saying 95: Giving Money,298,299,,,
096,Saying 96 — The Parable of the Yeast,planned,Saying 96: The Parable of the Yeast,300,301,,,
097,Saying 97 — The Parable of the Jar of Flour,planned,Saying 97: The Parable of the Jar of Flour,302,303,,,
098,Saying 98 — The Parable of the Assassin,planned,Saying 98: The Parable of the Assassin,304,305,,,
099,Saying 99 — Jesus' True Family,planned,Saying 99: Jesus' True Family,306,308,,,
100,Saying 100 — Give to Caesar What Belongs to Caesar,planned,Saying 100: Give to Caesar What Belongs to Caesar,309,311,,,
101,Saying 101 — Discipleship (2),planned,Saying 101: Discipleship (2),312,313,,,
102,Saying 102 — The Dog in the Feeding Trough,planned,Saying 102: The Dog in the Feeding Trough,314,315,,,
103,Saying 103 — The Parable of the Bandits,planned,Saying 103: The Parable of the Bandits,316,317,,,
104,Saying 104 — Prayer and Fasting,planned,Saying 104: Prayer and Fasting,318,321,,,
105,Saying 105 — Knowing Father and Mother,planned,Saying 105: Knowing Father and Mother,322,323,,,
106,Saying 106 — Unity (2),planned,Saying 106: Unity (2),324,325,,,
107,Saying 107 — The Parable of the Lost Sheep,planned,Saying 107: The Parable of the Lost Sheep,326,327,,,
108,Saying 108 — Becoming Like Jesus,planned,Saying 108: Becoming Like Jesus,328,329,,,
109,Saying 109 — The Parable of the Hidden Treasure,planned,Saying 109: The Parable of the Hidden Treasure,330,332,,,
110,Saying 110 — Riches and Renunciation (2),planned,Saying 110: Riches and Renunciation (2),333,334,,,
111,Saying 111 — Those Who are Living Won't Die (2),planned,Saying 111: Those Who are Living Won't Die (2),335,337,,,
112,Saying 112 — Flesh and Soul,planned,Saying 112: Flesh and Soul,338,339,,,
113,Saying 113 — The Kingdom is Already Present,planned,Saying 113: The Kingdom is Already Present,340,342,,,
114,Saying 114 — Peter and Mary,planned,Saying 114: Peter and Mary,343,354,,,
